ID del estadio,Estadio,Ciudad,País,Lugar 1,Descripción lugar 1,Rating lugar 1,Horarios lugar 1,Lugar 2,Descripción lugar 2,Rating lugar 2,Horarios lugar 2,Lugar 3,Descripción lugar 3,Rating lugar 3,Horarios lugar 3,Lugar 4,Descripción lugar 4,Rating lugar 4,Horarios lugar 4,Lugar 5,Descripción lugar 5,Rating lugar 5,Horarios lugar 5,Cosa por hacer 1,Cosa por hacer 2,Clima de la cuidad(°C)
1,Estadio Azteca,Ciudad de México,México,La Casa de Toño (Coyoacán),Famosos pozole y antojitos mexicanos,4.5,08:00-23:00,Bosque de chapultepec,"Este parque citadino de 686 hectáreas cuenta con varias atracciones, como un zoológico y museos.",4.7,05:00-18:00,Mercado de Coyoacán,Mercado tradicional con artesanías y comida,4.3,08:00-18:00,Museo Frida Kahlo (Casa Azul),Museo emblemático de Frida Kahlo,4.7,10:00-17:00,Palacio de bellas artes,"Fastuoso museo y teatro construido en mármol, que incluye murales de Diego Rivera y otros artistas.",4.8,10:00-18:00,Visita al centro histórico,Recorrido gastronómico por Coyoacán,12 a 26
2,Estadio BBVA (Monterrey),Monterrey,México,La Nacional (carne asada),Carnes y comida regiomontana,4.5,13:00-23:00,El Gran Pastor,Tacos al pastor y antojitos,4.3,09:00-22:00,Museo del Obispado,Museo eclesiástico y mirador,4.4,10:00-18:00,Parque Fundidora,Parque urbano grande con museo y rutas,4.6,06:00-21:00,Barrio Antiguo,Zona con bares y restaurantes,4.2,10:00-02:00,Recorrido por Parque Fundidora,Visita al Museo de Arte Contemporáneo (MARCO),22 a 35
3,Estadio Akron (Guadalajara),Guadalajara,México,Karne Garibaldi,Comida jalisciense y mariachis,4.2,10:00-22:00,La Chata,Clásicos de la cocina tapatía,4.4,07:00-22:00,Hospicio Cabañas,Patrimonio cultural con murales,4.8,10:00-18:00,Mercado Libertad (San Juan de Dios),Gran mercado de artesanías y comida,4.1,08:00-20:00,Tequila (tours cercanos),Pueblos y haciendas de tequila (excursiones),4.7,09:00-18:00,Tour de tequila,Recorrido por el Centro Histórico,16 a 32
4,Lumen Field (Seattle),Seattle,EEUU,The 12th Man Brewing,Bar / cervecería local,4.3,11:00-22:00,Ivar's Acres of Clams,Restaurante clásico frente al mar,4.1,11:00-22:00,Pike Place Market,Mercado icónico con puestos y comida,4.6,06:00-18:00,Space Needle (Seattle Center),Mirador emblemático de la ciudad,4.5,10:00-21:00,Museum of Pop Culture (MoPOP),Museo de cultura pop y exposiciones,4.4,10:00-17:00,Paseo por el Waterfront,Visita a Capitol Hill y Belltown,11 a 25
5,Levi's Stadium (San Francisco / Santa Clara),San Francisco (Santa Clara),EEUU,Plouf Kitchen & Bar,Restaurante cerca del estadio,4.2,11:00-22:00,Oren's Hummus,Popular restaurante mediterráneo,4.3,11:00-21:00,California's Great America,Parque de diversiones cercano,4.1,10:00-18:00,Intel Museum,Museo tecnológico pequeño,4,09:00-17:00,Santana Row,Zona de tiendas y restaurantes,4.4,10:00-22:00,Visita a Silicon Valley,Excursión a San Francisco,11 a 22
6,SoFi Stadium (Los Ángeles),Los Angeles,EEUU,Konzept,Restaurante moderno en Inglewood,4.1,11:00-22:00,Korean BBQ (Hollywood Park),BBQ coreano popular,4.3,11:00-23:00,Hollywood Walk of Fame,Atractivo turístico principal,4.2,10:00-22:00,The Forum,Sala de conciertos y eventos,4.3,Según evento,Manhattan Beach,Playa cercana para paseo y surf,4.5,Todo el día,Tour por Venice Beach,Visita a LACMA y Getty,15 a 30
7,NRG Stadium (Houston),Houston,EEUU,Houston Museum District,Zona con cafés y museos,4.2,Varía,Hermann Park,Parque con jardín japonés,4.5,06:00-22:00,Pappadeaux Seafood Kitchen,Mariscos estilo Texas,4.3,11:00-22:00,Miller Outdoor Theatre,Teatro al aire libre,4.4,Según evento,The Houston Zoo,Zoológico con muchas especies,4.4,09:00-17:00,Recorrer el Museum District,Visita al Buffalo Bayou Park,22 a 35
8,AT&T Stadium (Dallas / Arlington),Dallas,EEUU,Six Flags Over Texas,Parque temático cercano,4,Según temporada,Big D BBQ,BBQ texano tradicional,4.3,11:00-22:00,Globe Life Field,Estadio de béisbol cercano,4.2,Según evento,Texas Live!,Zona de restaurantes y bares,4.1,11:00-02:00,Arlington Highlands,Centro comercial con comida,4.2,10:00-21:00,Visitar museos en Dallas,Excursión a Fort Worth,20 a 36
9,Arrowhead Stadium (Kansas City),Kansas City,EEUU,Joe's Kansas City Bar-B-Que,Famoso BBQ local,4.6,10:30-20:00,Power & Light District,Zona de ocio y restaurantes,4.2,11:00-02:00,WWI Museum & Memorial,Museo nacional de la Primera Guerra Mundial,4.7,10:00-17:00,Kauffman Center,Centro cultural y arquitectónico,4.5,Según evento,Country Club Plaza,Zona de tiendas y restaurantes,4.3,10:00-21:00,Tour gastronómico BBQ,Visita al River Market,18 a 34
10,BC Place (Vancouver),Vancouver,Canadá,Cardero's Restaurant,Restaurante frente al agua,4.3,07:00-23:00,Granville Island Public Market,Mercado y artesanías,4.6,09:00-18:00,Stanley Park,Gran parque urbano con totem poles,4.8,06:00-22:00,Gastown,Barrio histórico con tiendas,4.4,10:00-20:00,Vancouver Aquarium,Acuario con fauna marina,4.5,10:00-17:00,Paseo en bici por Stanley Park,Visita a Granville Island,12 a 25
11,BMO Field (Toronto),Toronto,Canadá,St. Lawrence Market,Mercado histórico con comida local,4.6,08:00-18:00,CN Tower,Icono y mirador de la ciudad,4.7,09:00-22:00,Harbourfront Centre,Área junto al lago con actividades,4.4,09:00-21:00,Kensington Market,Barrio bohemio y gastronómico,4.3,10:00-20:00,Distillery District,Área histórica con galerías y restaurantes,4.5,10:00-22:00,Paseo por el lago Ontario,Visita a ROM y AGO,15 a 29
